Shot,Mat,cGANsim,cGAN_largesim,LF_LRsim
46,3,0.165380722,0.294065645,0.245524046
46,4,0.223472027,0.178173301,0.167038527
46,5,0.098177864,0.135995661,0.168613556
46,6,0.117060165,0.282390787,0.202709569
46,7,0.125908314,0.143137172,0.158887465
46,8,0.119029936,0.168068966,0.204397414
47,1,0.162347215,0.153599754,0.167741382
47,2,0.139232894,0.078463931,0.14167168
47,3,0.183436779,0.309840938,0.273981078
47,4,0.21679361,0.216136225,0.201971078
47,5,0.100102564,0.189443296,0.190916529
47,6,0.104407501,0.265090108,0.223188207
47,7,0.173694469,0.200094469,0.163823342
47,8,0.165427619,0.159097812,0.208488496
48,1,0.133229837,0.103998354,0.128213648
48,2,0.118579022,0.1317019,0.120478225
48,3,0.127756297,0.101577611,0.128485188
48,4,0.115573665,0.078352078,0.133512661
48,5,0.095270582,0.109559113,0.090981012
48,6,0.160573345,0.154434774,0.12365783
48,7,0.097120817,0.131203909,0.117102538
48,8,0.095483054,0.135453546,0.125232902
49,1,0.172730549,0.16354073,0.170541154
49,2,0.159928786,0.093238741,0.149591241
49,3,0.197944009,0.256727463,0.259798648
49,4,0.202746309,0.144914044,0.271233513
49,5,0.187583586,0.170045875,0.195972744
49,6,0.180719138,0.212297498,0.153143225
49,7,0.141437739,0.130600642,0.112385332
49,8,0.118934238,0.099820133,0.097915228
50,1,0.155980752,0.165141511,0.190460354
50,2,0.151103077,0.095313742,0.145142802
